submission_id	party_id	age	age_band	sex	ethnicity	ai_catastrophe_0_10	humans_robots_pct	upsi_score
6a2ab31ff3f8ce0d7546dff7	Republican	63	50-64	Female	White	9	0	A9
6a2ab322acc27ae701563580	Democrat	63	50-64	Male	White	1	90	X1
6a2ab32dc7ee26f6737fae7a	Republican	70	65+	Male	White	1	92	X1
6a2ab3318860282eafb48ca2	Republican	62	50-64	Male	White	3	19	E3
6a2ab33200a7375e25fa1168	Republican	64	50-64	Female	White	7	28	H7
6a2ab333bbbb9aed575fc914	Republican	59	50-64	Male	White	5	0	A5
6a2ab33522bf3f8c1cece233	Independent	43	35-49	Male	White	2	5	B2
6a2ab338236a7bd9fdd0cd48	Independent	42	35-49	Male	White	7	10	C7
6a2ab338fd752c16a54eb7c0	Democrat	55	50-64	Female	White	8	20	F8
6a2ab33981f827d83bff7459	Independent	57	50-64	Female	White	6	25	G6
6a2ab33c253cdbbb735b3bed	Democrat	71	65+	Male	White	3	51	N3
6a2ab33c7b0f53edd6408a4c	Independent	52	50-64	Male	White	4	23	F4
6a2ab34060d64528c640c57e	Independent	56	50-64	Male	White	8	25	G8
6a2ab34bc5561b214423eede	Independent	32	18-34	Male	White	7	73	S7
6a2ab3509c8b8d5a3ed1bf80	Independent	48	35-49	Female	White	10	2	A10
6a2ab360cebb5af75d375916	Democrat	36	35-49	Male	White	5	11	C5
6a2ab362c95b2843b1c7bfb2	Independent	60	50-64	Male	White	1	31	I1
6a2ab37719caac56e10f5e42	Independent	22	18-34	Female	White	8	28	H8
6a2ab37fe1e7aee75f116fc2	Republican	59	50-64	Male	White	1	71	S1
6a2ab383e16d944d725839e0	Democrat	56	50-64	Female	White	5	23	F5
6a2ab385771d12a6df6423db	Democrat	32	18-34	Male	White	9	11	C9
6a2ab38a6a2c2c0584500bf6	Democrat	68	65+	Female	White	10	80	U10
6a2ab38edb5622cf0262edf4	Independent	74	65+	Female	White	9	40	K9
6a2ab391eaee35b9a4114046	Independent	55	50-64	Male	White	9	85	W9
6a2ab395e26f4044dddb961f	Independent	60	50-64	Female	White	10	10	C10
6a2ab39abb12f56de572c3dd	Democrat	39	35-49	Male	White	8	70	S8
6a2ab3a26eadf2e83b3f4481	Independent	69	65+	Female	White	8	51	N8
6a2ab3a40d769b2bf99ee6aa	Republican	38	35-49	Male	White	7	42	K7
6a2ab3aab90446f30e1fe83b	Independent	42	35-49	Male	White	8	100	Z8
6a2ab3b0729672c8a19e608b	Democrat	67	65+	Female	White	7	65	Q7
6a2ab3b250526b635f831c4e	Independent	37	35-49	Female	White	3	33	I3
6a2ab3b30cda871c9a69d514	Republican	56	50-64	Male	White	3	65	Q3
6a2ab3b5e8d141d5c7359817	Republican	60	50-64	Female	White	1	4	B1
6a2ab3ba1bae96c4cfa40b71	Independent	18	18-34	Male	White	2	32	I2
6a2ab3bba404c7457b590633	Independent	36	35-49	Male	Mixed	8	75	T8
6a2ab3bc037dce788e2e3714	Independent	50	50-64	Female	White	4	68	R4
6a2ab3befb944f81912e8fea	Independent	19	18-34	Female	White	10	20	F10
6a2ab3bfc880103db00b1aaa	Independent	52	50-64	Female	White	8	20	F8
6a2ab3c30eed33d9b2a1781b	Independent	28	18-34	Male	Black	8	71	S8
6a2ab3c317c8fcef9db12930	Independent	55	50-64	Male	White	10	100	Z10
6a2ab3c4213fd4971d64b0b2	Republican	63	50-64	Female	White	6	30	H6
6a2ab3d0db437559bead4023	Independent	26	18-34	Male	White	6	62	Q6
6a2ab3d1680439f857443ecb	Independent	47	35-49	Male	White	9	79	U9
6a2ab3d2729672c8a19e6092	Independent	43	35-49	Male	White	6	50	N6
6a2ab3d7cf9fff232c90244d	Democrat	25	18-34	Male	White	7	74	T7
6a2ab3dadd685d732eaacf45	Democrat	56	50-64	Male	White	6	73	S6
6a2ab3dea0b91f1ef2bbe07e	Independent	35	35-49	Male	White	7	50	N7
6a2ab3e46f482c90db2750d4	Independent	33	18-34	Female	White	7	31	I7
6a2ab3ed33fc611021509fa1	Democrat	40	35-49	Female	White	4	22	F4
6a2ab3ee3cd8e285ec0746ad	Independent	59	50-64	Male	White	2	0	A2
6a2ab3f44766ae6af478d49b	Independent	55	50-64	Female	White	3	37	J3
6a2ab4037d9b251076ff3ee6	Republican	63	50-64	Male	White	1	10	C1
6a2ab4039f571c4e47611567	Democrat	45	35-49	Female	White	7	30	H7
6a2ab411438ccc1518b9ec26	Republican	66	65+	Female	Black	8	66	R8
6a2ab41713c500ef3b3adbf7	Independent	57	50-64	Female	White	7	33	I7
6a2ab419b558d2a93c168f1d	Independent	27	18-34	Male	Mixed	1	0	A1
6a2ab437177945d98aed4c80	Independent	28	18-34	Female	White	7	90	X7
6a2ab4378cc8626ac495743d	Republican	80	65+	Male	White	4	77	U4
6a2ab43fcacff25eef71cdc1	Independent	30	18-34	Male	Mixed	8	45	L8
6a2ab44a4e1656e96d1d6d7e	Republican	20	18-34	Male	Asian	3	27	H3
6a2ab44c26d856a0ac877c58	Independent	55	50-64	Female	White	3	61	P3
6a2ab44f383ac677b240528d	Independent	22	18-34	Female	White	4	10	C4
6a2ab45413bcebac5778d4b1	Independent	49	35-49	Male	White	7	47	M7
6a2ab45ad33cb90f8a28a6a7	Republican	55	50-64	Male	White	8	76	T8
6a2ab45c27799ac4482e371e	Independent	58	50-64	Female	White	8	76	T8
6a2ab45c4b74136d6b36a613	Independent	57	50-64	Male	White	7	61	P7
6a2ab45f3ee50a7320152ffa	Independent	32	18-34	Male	White	7	50	N7
6a2ab4607fbdbf32df8dcbbb	Democrat	78	65+	Female	White	6	30	H6
6a2ab46420e0402c2a5599e4	Republican	33	18-34	Female	White	1	2	A1
6a2ab46b389075940107ba69	Democrat	52	50-64	Male	White	9	80	U9
6a2ab46be4fd433d45e6ac23	Democrat	37	35-49	Female	White	8	10	C8
6a2ab46d6a7e850899149e87	Independent	28	18-34	Female	White	9	76	T9
