grp	n	mean_ai_catastrophe	se_ai_catastrophe	sd_ai_catastrophe	mean_humans_robots_pct	se_humans_robots_pct	sd_humans_robots_pct	mean_upsi_score
total	300	6.01	0.15	2.6	43.7	1.62	28.07	L6
sex=Female	154	6.21	0.208	2.59	42.7	2.25	27.89	L6
sex=Male	146	5.79	0.216	2.61	44.7	2.34	28.31	L6
party=Democrat	90	6.53	0.246	2.33	40.5	2.81	26.65	K7
party=Independent	120	6.21	0.232	2.55	46.8	2.59	28.38	M6
party=Republican	90	5.21	0.292	2.77	42.7	3.04	28.88	L5
age=18-34	92	6.54	0.256	2.46	43.7	2.87	27.55	L7
age=35-49	83	6.12	0.264	2.41	45.5	3.08	28.06	L6
age=50-64	95	5.39	0.279	2.72	39.5	2.87	28.0	K5
age=65+	30	6.0	0.532	2.91	51.9	5.27	28.88	N6
eth=Asian	30	5.87	0.412	2.26	45.4	5.05	27.64	L6
eth=Black	40	6.1	0.465	2.94	47.7	4.14	26.18	M6
eth=Mixed	36	6.25	0.433	2.6	41.8	5.22	31.33	K6
eth=Other	30	5.9	0.446	2.44	46.6	4.78	26.16	M6
eth=White	164	5.98	0.206	2.63	42.3	2.21	28.35	K6
